evaluation,mape
2.000000000000000000e+00,4.792913574300588841e+00
1.000000000000000000e+01,1.738741709025294568e+00
2.000000000000000000e+01,1.151520772868452891e+00
3.000000000000000000e+01,8.494889337602997692e-01
4.000000000000000000e+01,7.170229754966582769e-01
5.000000000000000000e+01,7.101949860890875987e-01
6.000000000000000000e+01,6.655502490662664750e-01
7.000000000000000000e+01,8.997585334819913072e-01
8.000000000000000000e+01,6.944095189039863891e-01
9.000000000000000000e+01,5.978644704975277779e-01
1.000000000000000000e+02,5.715439613765912474e-01
