evaluation,mape
2.000000000000000000e+00,9.826669477323386470e-01
1.000000000000000000e+01,8.043745186232924560e-01
2.000000000000000000e+01,9.035657891284719634e-01
3.000000000000000000e+01,1.577499022658674921e-01
4.000000000000000000e+01,3.627267937636181883e-02
5.000000000000000000e+01,4.803446515091900487e-02
6.000000000000000000e+01,5.079265161774139392e-02
7.000000000000000000e+01,5.065367970383625323e-02
8.000000000000000000e+01,4.978206355973315012e-02
9.000000000000000000e+01,4.969023999941873243e-02
1.000000000000000000e+02,4.970130533695369529e-02
