evaluation,mape
2.000000000000000000e+00,9.885213167801839562e-01
1.000000000000000000e+01,9.604937615140681784e-01
2.000000000000000000e+01,8.187980895962398975e-01
3.000000000000000000e+01,6.583629813442563039e-01
4.000000000000000000e+01,7.015941144985816669e-01
5.000000000000000000e+01,7.495884441638912543e-01
6.000000000000000000e+01,4.634010980316214945e-01
7.000000000000000000e+01,2.529724473738686683e-02
8.000000000000000000e+01,3.486570444075940550e-02
9.000000000000000000e+01,3.306285185477270128e-02
1.000000000000000000e+02,2.643176119866641124e-02
