evaluation,mae
2.000000000000000000e+00,2.356057190299034154e+00
1.000000000000000000e+01,1.887772879600524867e+00
2.000000000000000000e+01,2.237015286087989718e+00
3.000000000000000000e+01,2.264879801869392306e+00
4.000000000000000000e+01,1.765506923198699951e+00
5.000000000000000000e+01,6.775467729568481756e-01
6.000000000000000000e+01,6.900256013870239569e-01
7.000000000000000000e+01,7.306491851806640181e-02
8.000000000000000000e+01,4.555569648742675837e-02
9.000000000000000000e+01,5.720767021179198886e-02
1.000000000000000000e+02,3.553846836090088224e-02
