evaluation,mae
2.000000000000000000e+00,2.785814161896705610e+00
1.000000000000000000e+01,1.728113932609558034e+00
2.000000000000000000e+01,1.914459369182586634e+00
3.000000000000000000e+01,6.409443092346190918e-01
4.000000000000000000e+01,1.865818977355956920e-02
5.000000000000000000e+01,1.420660018920898507e-02
6.000000000000000000e+01,8.756160736083984375e-03
7.000000000000000000e+01,3.888616561889648646e-03
8.000000000000000000e+01,4.196138381958008055e-03
9.000000000000000000e+01,4.211297035217284948e-03
1.000000000000000000e+02,3.614354133605957205e-03
