dynamic,controllable,controllable,controllable,controllable,controllable,output
4.223362233000942378e-01,8.824524283409118652e-01,8.473864793777465820e-01,5.739963054656982422e-01,1.383308321237564087e-01,3.848642855882644653e-02,-3.186196804046630859e+00
1.503025414173305430e-01,1.503191292285919189e-01,4.808607399463653564e-01,2.742980420589447021e-01,3.122316896915435791e-01,6.567134261131286621e-01,-3.289670944213867188e+00
4.077318484578405511e-01,8.824468851089477539e-01,8.463494777679443359e-01,5.739912390708923340e-01,1.388062089681625366e-01,3.849376738071441650e-02,-3.202646493911743164e+00
3.390616242381790935e-01,1.487580835819244385e-01,4.543898999691009521e-01,2.798895835876464844e-01,3.091095089912414551e-01,6.601139307022094727e-01,-3.112898588180541992e+00
3.091224553648974083e-01,1.490706205368041992e-01,4.608342647552490234e-01,2.787798941135406494e-01,3.097227811813354492e-01,6.594132184982299805e-01,-3.190692901611328125e+00
1.984114238358472282e-01,1.500333696603775024e-01,4.771957993507385254e-01,2.752513587474822998e-01,3.116971850395202637e-01,6.572528481483459473e-01,-3.322236537933349609e+00
2.811143069018800511e-01,1.493484079837799072e-01,4.660763442516326904e-01,2.777719795703887939e-01,3.102833032608032227e-01,6.587842702865600586e-01,-3.248747348785400391e+00
4.296161346692928817e-01,8.824588060379028320e-01,8.478182554244995117e-01,5.739991068840026855e-01,1.381312310695648193e-01,3.848422691226005554e-02,-3.169441223144531250e+00
3.570009548476512640e-01,8.823964595794677734e-01,8.405878543853759766e-01,5.739483237266540527e-01,1.420684754848480225e-01,3.855023533105850220e-02,-3.082003355026245117e+00
2.916518718758143169e-01,1.492460072040557861e-01,4.641934931278228760e-01,2.781458497047424316e-01,3.100749254226684570e-01,6.590171456336975098e-01,-3.228686332702636719e+00
2.731610196922885647e-01,1.494232118129730225e-01,4.674256443977355957e-01,2.774952352046966553e-01,3.104378879070281982e-01,6.586124897003173828e-01,-3.262401819229125977e+00
3.260671212244402595e-01,1.488958597183227539e-01,4.572917222976684570e-01,2.794057726860046387e-01,3.093765377998352051e-01,6.598082184791564941e-01,-3.148532867431640625e+00
3.644091395309167480e-01,8.824024200439453125e-01,8.417347073554992676e-01,5.739573240280151367e-01,1.413226276636123657e-01,3.854067623615264893e-02,-3.116268396377563477e+00
4.620671128120786841e-01,8.824595808982849121e-01,8.490700125694274902e-01,5.740016698837280273e-01,1.380923390388488770e-01,3.847882896661758423e-02,-3.028761625289916992e+00
3.872579474986984627e-01,8.824316263198852539e-01,8.444792032241821289e-01,5.739778280258178711e-01,1.397856920957565308e-01,3.851085528731346130e-02,-3.186744451522827148e+00
1.669829968831371414e-01,1.502303034067153931e-01,4.798108935356140137e-01,2.745758593082427979e-01,3.120765984058380127e-01,6.568650007247924805e-01,-3.307493686676025391e+00
2.249993613637886747e-01,1.498340368270874023e-01,4.743119478225708008e-01,2.759639620780944824e-01,3.112975955009460449e-01,6.576787233352661133e-01,-3.315797328948974609e+00
1.834141050283022711e-01,1.501321196556091309e-01,4.785489737987518311e-01,2.749053239822387695e-01,3.118917346000671387e-01,6.570518016815185547e-01,-3.318260908126831055e+00
4.724777211076899297e-01,8.824582695960998535e-01,8.492625355720520020e-01,5.739998221397399902e-01,1.382612586021423340e-01,3.848069906234741211e-02,-2.962429761886596680e+00
2.054298873922496826e-01,1.499843299388885498e-01,4.764951467514038086e-01,2.754271924495697021e-01,3.115982711315155029e-01,6.573563814163208008e-01,-3.322197437286376953e+00
4.454089528233217687e-01,8.824588060379028320e-01,8.485451340675354004e-01,5.740029811859130859e-01,1.380401700735092163e-01,3.847970813512802124e-02,-3.114062786102294922e+00
2.337174883845182238e-01,1.497670561075210571e-01,4.732231497764587402e-01,2.762167453765869141e-01,3.111534416675567627e-01,6.578285694122314453e-01,-3.310019731521606445e+00
3.792737964426486363e-01,8.824238181114196777e-01,8.435849547386169434e-01,5.739722847938537598e-01,1.402801722288131714e-01,3.851965814828872681e-02,-3.168316364288330078e+00
2.474004400540989745e-01,1.496545225381851196e-01,4.713791012763977051e-01,2.766400575637817383e-01,3.109164237976074219e-01,6.580866575241088867e-01,-3.297413587570190430e+00
1.411252986920197572e-01,1.503729224205017090e-01,4.813442230224609375e-01,2.741687297821044922e-01,3.123022019863128662e-01,6.566461324691772461e-01,-3.276910066604614258e+00
