dynamic,controllable,controllable,controllable,controllable,controllable,output
9.387604247979008942e-01,2.387328846874824384e-01,8.347631808769007122e-02,2.297171325227914673e-01,3.163900414904400327e-01,6.529456798118812300e-01,5.603059381781786419e-01
9.209592342376708984e-01,6.912972927093505859e-01,5.799490213394165039e-01,7.267292141914367676e-01,9.942231774330139160e-01,1.146102696657180786e-01,1.730579696595668793e-02
8.836188316345214844e-01,2.387804538011550903e-01,8.338584005832672119e-02,2.297838330268859863e-01,3.163163959980010986e-01,6.529599428176879883e-01,7.008463144302368164e-01
8.358278274536132812e-01,2.694578170776367188e-01,2.517060562968254089e-02,2.727107703685760498e-01,2.688672244548797607e-01,6.621481180191040039e-01,7.824661135673522949e-01
8.403213620185852051e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.551164627075195312e-01,2.990410430356860161e-04
8.297682404518127441e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,7.767728716135025024e-02,0.000000000000000000e+00,2.124498970806598663e-02
7.959759235382080078e-01,1.000000000000000000e+00,6.314634531736373901e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.037642873823642731e-02
7.850750684738159180e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.102613985538482666e-01,7.068335413932800293e-01,3.906433880329132080e-01
7.554212212562561035e-01,3.117757141590118408e-01,5.547990649938583374e-02,2.858427464962005615e-01,2.793484032154083252e-01,6.167840361595153809e-01,1.009261488914489746e+00
7.238266468048095703e-01,5.632079243659973145e-01,0.000000000000000000e+00,7.133992314338684082e-01,0.000000000000000000e+00,6.201187968254089355e-01,2.316226996481418610e-02
6.934130191802978516e-01,5.209099054336547852e-01,0.000000000000000000e+00,2.680901885032653809e-01,0.000000000000000000e+00,2.768095135688781738e-01,9.468005597591400146e-02
7.194290161132812500e-01,2.481539249420166016e-01,0.000000000000000000e+00,2.177561074495315552e-01,0.000000000000000000e+00,6.204953193664550781e-01,2.236852645874023438e-01
7.485911250114440918e-01,3.825321197509765625e-01,1.107981950044631958e-01,2.542552053928375244e-01,3.159698843955993652e-01,5.095771551132202148e-01,8.226546049118041992e-01
7.870696783065795898e-01,3.114801347255706787e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.761068642139434814e-01,0.000000000000000000e+00,3.218301106244325638e-03
7.678309679031372070e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.823743760585784912e-01,2.884292900562286377e-01,1.000000000000000000e+00,3.573307096958160400e-01
7.731730341911315918e-01,3.216466307640075684e-01,1.436034291982650757e-01,3.495465219020843506e-01,3.177252113819122314e-01,6.249601244926452637e-01,9.933279156684875488e-01
8.204013705253601074e-01,1.000000000000000000e+00,1.000000000000000000e+00,3.315097093582153320e-01,3.013657927513122559e-01,5.950374603271484375e-01,4.122266545891761780e-02
