evaluation,mae
2.000000000000000000e+00,1.908953228369355104e+00
1.000000000000000000e+01,1.784423297047615042e+00
2.000000000000000000e+01,1.751333538293838421e+00
3.000000000000000000e+01,7.450466299057006969e-01
4.000000000000000000e+01,7.460749101638793901e-01
5.000000000000000000e+01,2.462070274353027333e-01
6.000000000000000000e+01,2.275732946395873924e-01
7.000000000000000000e+01,6.870229721069336104e-02
8.000000000000000000e+01,1.207876729965209894e-01
9.000000000000000000e+01,1.264880704879760842e-01
1.000000000000000000e+02,1.357863092422485485e-01
