evaluation,mae
2.000000000000000000e+00,2.356308361589908529e+00
1.000000000000000000e+01,1.575461511611938370e+00
2.000000000000000000e+01,7.393544864654540971e-01
3.000000000000000000e+01,4.120973491668701305e-01
4.000000000000000000e+01,2.814766025543212757e-01
5.000000000000000000e+01,2.763123965263366566e-01
6.000000000000000000e+01,2.731112647056579412e-01
7.000000000000000000e+01,2.770129013061523593e-01
8.000000000000000000e+01,2.697550892829895242e-01
9.000000000000000000e+01,2.761861658096313454e-01
1.000000000000000000e+02,2.914270544052123824e-01
