evaluation,mae
2.000000000000000000e+00,2.220414690971374672e+00
1.000000000000000000e+01,1.831981368064880433e+00
2.000000000000000000e+01,1.422777318954467685e+00
3.000000000000000000e+01,4.856814575195312345e-01
4.000000000000000000e+01,1.885546112060546842e-01
5.000000000000000000e+01,1.156914520263671864e-01
6.000000000000000000e+01,5.075882911682128712e-02
7.000000000000000000e+01,2.200386047363281361e-02
8.000000000000000000e+01,2.060455322265624875e-02
9.000000000000000000e+01,2.490489959716796903e-02
1.000000000000000000e+02,2.485052108764648424e-02
