dynamic,controllable,controllable,controllable,controllable,controllable,output
2.536702556935586106e-01,1.496001183986663818e-01,4.704735875129699707e-01,2.768411040306091309e-01,3.108046352863311768e-01,6.582066416740417480e-01,-3.290224552154541016e+00
2.098554575419981638e-01,1.499524861574172974e-01,4.760306179523468018e-01,2.755424678325653076e-01,3.115333318710327148e-01,6.574240922927856445e-01,-3.321555852890014648e+00
3.331928394161416951e-01,1.488202661275863647e-01,4.557202458381652832e-01,2.796711027622222900e-01,3.092294335365295410e-01,6.599760055541992188e-01,-3.129333972930908203e+00
4.541342728137605367e-02,1.506163328886032104e-01,4.823676943778991699e-01,2.740056514739990234e-01,3.123630881309509277e-01,6.567255258560180664e-01,-3.025391101837158203e+00
1.010304728385570811e-01,1.505150496959686279e-01,4.826460778713226318e-01,2.738394439220428467e-01,3.124804198741912842e-01,6.565062999725341797e-01,-3.197012186050415039e+00
1.690210190193479345e-02,1.506198048591613770e-01,4.812894165515899658e-01,2.743672728538513184e-01,3.121424317359924316e-01,6.570214629173278809e-01,-2.913532495498657227e+00
1.958673483617726363e-01,1.500509530305862427e-01,4.774390161037445068e-01,2.751896977424621582e-01,3.117318153381347656e-01,6.572166085243225098e-01,-3.321952819824218750e+00
2.417799717640427004e-01,1.497018039226531982e-01,4.721584320068359375e-01,2.764632701873779297e-01,3.110158741474151611e-01,6.579788327217102051e-01,-3.303108453750610352e+00
1.233675101561251403e-01,1.504390686750411987e-01,4.820767343044281006e-01,2.739783227443695068e-01,3.124069869518280029e-01,6.565552353858947754e-01,-3.246318101882934570e+00
6.149279834097464564e-02,1.506013721227645874e-01,4.826967120170593262e-01,2.738827168941497803e-01,3.124403357505798340e-01,6.566128730773925781e-01,-3.081735610961914062e+00
1.299620699800952406e-01,1.504120826721191406e-01,4.818331301212310791e-01,2.740415036678314209e-01,3.123734891414642334e-01,6.565835475921630859e-01,-3.258580684661865234e+00
3.097616254248105050e-01,1.490657478570938110e-01,4.607053399085998535e-01,2.788027524948120117e-01,3.097090423107147217e-01,6.594284176826477051e-01,-3.189194917678833008e+00
8.632596488400641477e-02,1.505532115697860718e-01,4.828112423419952393e-01,2.738117277622222900e-01,3.124907612800598145e-01,6.565169095993041992e-01,-3.158186197280883789e+00
4.339978675287738466e-04,1.506047099828720093e-01,4.803706109523773193e-01,2.746582925319671631e-01,3.119694888591766357e-01,6.572441458702087402e-01,-2.842698335647583008e+00
2.738733430494604826e-01,1.494166254997253418e-01,4.673066437244415283e-01,2.775197625160217285e-01,3.104241192340850830e-01,6.586278080940246582e-01,-3.261231899261474609e+00
1.455809001391648594e-01,1.503406316041946411e-01,4.811164140701293945e-01,2.742304801940917969e-01,3.122685551643371582e-01,6.566770076751708984e-01,-3.283366680145263672e+00
6.964639088807715595e-02,1.505875736474990845e-01,4.827849864959716797e-01,2.738436758518218994e-01,3.124662637710571289e-01,6.565705537796020508e-01,-3.108294963836669922e+00
2.849669972532841156e-01,1.493112295866012573e-01,4.654004275798797607e-01,2.779076993465423584e-01,3.102075159549713135e-01,6.588687896728515625e-01,-3.241669416427612305e+00
3.177938893030682332e-01,1.489814519882202148e-01,4.590553045272827148e-01,2.791005969047546387e-01,3.095454871654510498e-01,6.596155166625976562e-01,-3.169746637344360352e+00
1.728195216300754400e-01,1.501965671777725220e-01,4.793885648250579834e-01,2.746842801570892334e-01,3.120150566101074219e-01,6.569247841835021973e-01,-3.312089443206787109e+00
2.942049793961513116e-01,1.492209583520889282e-01,4.637209177017211914e-01,2.782376110553741455e-01,3.100238442420959473e-01,6.590741872787475586e-01,-3.223496198654174805e+00
1.883992421969903353e-01,1.500963270664215088e-01,4.781222045421600342e-01,2.750175893306732178e-01,3.118304610252380371e-01,6.571189761161804199e-01,-3.320199251174926758e+00
3.545379986388291077e-02,1.506185531616210938e-01,4.820647537708282471e-01,2.741111814975738525e-01,3.122983872890472412e-01,6.568153500556945801e-01,-2.987977981567382812e+00
2.276353208300149755e-01,1.498171389102935791e-01,4.739885926246643066e-01,2.760368585586547852e-01,3.112571835517883301e-01,6.577183604240417480e-01,-3.314238071441650391e+00
1.546334887594008889e-01,1.502970457077026367e-01,4.806101322174072266e-01,2.743645310401916504e-01,3.121947348117828369e-01,6.567490696907043457e-01,-3.294965744018554688e+00
