evaluation,mape
2.000000000000000000e+00,6.491180107167363600e-01
1.000000000000000000e+01,5.453824713435582172e-01
2.000000000000000000e+01,6.335386951960760848e-01
3.000000000000000000e+01,3.176523757382767044e-01
4.000000000000000000e+01,2.282979534424860180e-01
5.000000000000000000e+01,9.996813169539878197e-02
6.000000000000000000e+01,1.146781548446430821e-01
7.000000000000000000e+01,1.276376856626199596e-01
8.000000000000000000e+01,9.134948139671311695e-02
9.000000000000000000e+01,4.594972710128877175e-02
1.000000000000000000e+02,2.351920156955046581e-02
