evaluation,mae
2.000000000000000000e+00,2.342451212406158501e+00
1.000000000000000000e+01,1.963529367446899432e+00
2.000000000000000000e+01,1.038621268272399867e+00
3.000000000000000000e+01,1.447934615612030074e+00
4.000000000000000000e+01,1.287165995836258015e+00
5.000000000000000000e+01,7.548473691940307262e-01
6.000000000000000000e+01,8.145109868049621449e-01
7.000000000000000000e+01,7.732429742813110574e-01
8.000000000000000000e+01,8.165956783294677779e-01
9.000000000000000000e+01,7.842667007446288974e-01
1.000000000000000000e+02,7.800273728370666904e-01
