evaluation,mae
2.000000000000000000e+00,1.603565220832824600e+00
1.000000000000000000e+01,6.483660936355590820e-01
2.000000000000000000e+01,5.673480272293091042e-01
3.000000000000000000e+01,5.120762348175048745e-02
4.000000000000000000e+01,6.576327800750732255e-02
5.000000000000000000e+01,1.222541403770446844e-01
6.000000000000000000e+01,1.355816650390624933e-01
7.000000000000000000e+01,1.210041546821594288e-01
8.000000000000000000e+01,8.545362949371337891e-02
9.000000000000000000e+01,9.293724060058593250e-02
1.000000000000000000e+02,9.243413448333739901e-02
