evaluation,mae
2.000000000000000000e+00,2.998260400742292386e+00
1.000000000000000000e+01,2.994943523034453214e+00
2.000000000000000000e+01,2.965750219076872085e+00
3.000000000000000000e+01,1.622579884529113725e+00
4.000000000000000000e+01,6.098097705841064586e-01
5.000000000000000000e+01,2.775611114501952970e-01
6.000000000000000000e+01,1.014355850219726546e-01
7.000000000000000000e+01,4.571332931518554826e-02
8.000000000000000000e+01,5.475615501403808399e-02
9.000000000000000000e+01,6.209189414978027316e-02
1.000000000000000000e+02,5.468139648437500208e-03
