evaluation,mae
2.000000000000000000e+00,2.605675344467162979e+00
1.000000000000000000e+01,2.376669173240661515e+00
2.000000000000000000e+01,2.349021234512329137e+00
3.000000000000000000e+01,1.698555250167846697e+00
4.000000000000000000e+01,6.423291873931884499e-01
5.000000000000000000e+01,2.568833351135254017e-01
6.000000000000000000e+01,7.341698646545409546e-02
7.000000000000000000e+01,5.541451454162597823e-02
8.000000000000000000e+01,5.610400199890136497e-02
9.000000000000000000e+01,5.047598838806152677e-02
1.000000000000000000e+02,3.868500709533691240e-02
