evaluation,mae
2.000000000000000000e+00,2.579682206735014915e+00
1.000000000000000000e+01,2.582947544082999425e+00
2.000000000000000000e+01,1.980889945030212429e+00
3.000000000000000000e+01,2.405570608377456843e+00
4.000000000000000000e+01,2.417483344674110413e+00
5.000000000000000000e+01,1.664998247623443506e+00
6.000000000000000000e+01,1.484371538162231552e+00
7.000000000000000000e+01,1.081063370704650861e+00
8.000000000000000000e+01,9.034644651412964134e-01
9.000000000000000000e+01,4.942404985427856223e-01
1.000000000000000000e+02,6.264164447784423273e-02
