evaluation,mae
2.000000000000000000e+00,2.734450869560241859e+00
1.000000000000000000e+01,2.410152558088302754e+00
2.000000000000000000e+01,6.407821369171142756e-01
3.000000000000000000e+01,3.424341773986816495e-01
4.000000000000000000e+01,3.476709747314453147e-01
5.000000000000000000e+01,1.761692047119140653e-02
6.000000000000000000e+01,1.695173263549804715e-02
7.000000000000000000e+01,1.514270782470703187e-02
8.000000000000000000e+01,1.357563018798828118e-02
9.000000000000000000e+01,1.431398391723632743e-02
1.000000000000000000e+02,1.686057090759277358e-02
