evaluation,mae
2.000000000000000000e+00,2.535620775111019576e+00
1.000000000000000000e+01,2.124840774536132848e+00
2.000000000000000000e+01,6.079717302322387162e-01
3.000000000000000000e+01,6.312427568435668990e-01
4.000000000000000000e+01,1.537913023233413723e+00
5.000000000000000000e+01,1.504816232919693020e+00
6.000000000000000000e+01,1.374444231986999609e+00
7.000000000000000000e+01,1.307754766941070512e+00
8.000000000000000000e+01,1.281678094863891504e+00
9.000000000000000000e+01,1.249419007301330486e+00
1.000000000000000000e+02,1.116865068674087524e+00
