evaluation,mae
2.000000000000000000e+00,2.229190908074378807e+00
1.000000000000000000e+01,1.026978602409362784e+00
2.000000000000000000e+01,4.791372013092041193e-01
3.000000000000000000e+01,3.348321771621703968e-01
4.000000000000000000e+01,3.404867386817931885e-01
5.000000000000000000e+01,3.197249841690063543e-01
6.000000000000000000e+01,3.123665523529052801e-01
7.000000000000000000e+01,3.071308255195617787e-01
8.000000000000000000e+01,3.019474148750305176e-01
9.000000000000000000e+01,3.013031482696533203e-01
1.000000000000000000e+02,2.988716030120849854e-01
