evaluation,mae
2.000000000000000000e+00,2.700132553577422989e+00
1.000000000000000000e+01,1.379313240051269540e+00
2.000000000000000000e+01,1.077039155960082928e+00
3.000000000000000000e+01,7.111202239990234431e-02
4.000000000000000000e+01,5.934118270874023243e-02
5.000000000000000000e+01,6.284264564514159546e-02
6.000000000000000000e+01,5.728158950805663924e-02
7.000000000000000000e+01,2.265523910522461090e-02
8.000000000000000000e+01,1.739791870117187583e-02
9.000000000000000000e+01,1.792766571044921917e-02
1.000000000000000000e+02,1.826185226440429563e-02
