evaluation,mae
2.000000000000000000e+00,2.898907272219657827e+00
1.000000000000000000e+01,2.861821637153625364e+00
2.000000000000000000e+01,2.880709916949272031e+00
3.000000000000000000e+01,1.698484630584716770e+00
4.000000000000000000e+01,8.918823194503784357e-01
5.000000000000000000e+01,1.310985469818115312e-01
6.000000000000000000e+01,1.102820968627929721e-01
7.000000000000000000e+01,1.428320312499999911e-01
8.000000000000000000e+01,1.326966953277587957e-01
9.000000000000000000e+01,8.406610488891601285e-02
1.000000000000000000e+02,8.313260078430176336e-02
